id_anagrafica,esito,data_cambio_esito,codice_esito,data_di_nascita
400001,P,2021-10-27,1,1970-11-29
400002,N,2020-07-03,3,1978-04-21
400003,N,2020-06-30,3,1965-04-16
400004,N,2022-04-27,2,1940-03-17
400005,N,2021-08-24,2,1976-07-09
400006,N,2020-07-03,3,1971-07-06
400007,N,2020-07-03,3,1977-01-21
400008,N,2022-04-27,2,1944-04-02
400009,N,2020-06-30,3,1979-11-18
400010,N,2022-04-27,2,1974-09-30
400011,N,2020-06-30,3,1982-11-23
400012,N,2020-07-03,3,1970-09-30
400013,N,2020-06-30,3,1958-06-04
400014,N,2020-07-03,3,1983-07-31
400015,N,2020-07-03,3,1982-06-11
400016,N,2022-03-03,2,1975-03-04
400017,N,2020-07-03,3,1977-12-03
400018,N,2021-09-23,2,1980-04-05
400019,N,2021-07-08,2,1972-07-30
400020,P,2022-04-29,1,1981-04-21
400021,N,2021-12-22,2,1969-11-05
400022,N,2020-06-30,3,1970-12-28
400023,N,2020-06-30,3,1960-12-30
400024,N,2022-04-27,2,1970-05-13
400025,N,2020-06-30,3,1969-11-15
400026,N,2020-07-03,3,1981-04-04
400027,N,2020-07-03,3,1966-12-06
400028,N,2020-07-03,3,1979-06-12
400029,N,2020-07-03,3,1966-04-12
400030,N,2020-07-03,3,1959-02-16
400031,N,2020-07-03,3,1972-03-03
400032,N,2020-07-03,3,1976-06-27
400033,P,2021-10-12,1,1945-07-26
400034,N,2020-07-03,3,1956-11-01
400035,N,2020-07-03,3,1946-11-18
400036,N,2020-07-03,3,1946-09-03
400037,N,2020-07-03,3,1968-09-20
400038,P,2022-04-27,1,1983-05-08
400039,N,2020-06-30,3,1962-01-08
400040,P,2022-04-27,1,1987-11-26
400041,N,2022-04-27,2,1959-07-09
400042,N,2020-07-03,3,1962-03-05
400043,P,2022-04-27,1,1977-08-05
400044,P,2022-02-16,1,1990-03-03
400045,N,2021-12-10,3,1972-03-24
400046,P,2022-04-13,1,1971-05-30
400047,P,2022-04-29,1,1979-10-11
400048,N,2022-02-17,2,1977-01-04
400049,N,2021-12-10,3,1944-01-06
400050,N,2021-12-10,3,1966-08-11
400051,N,2022-01-20,3,1973-08-06
400052,N,2020-01-30,3,1947-01-30
400053,N,2021-06-22,2,1984-12-01
400054,N,2021-06-22,3,1988-02-02
400055,N,2021-11-16,2,1985-10-07
400056,P,2022-04-27,1,1983-11-21
400057,N,2020-01-30,3,1988-02-04
400058,N,2021-05-26,2,1973-05-27
400059,N,2020-01-30,3,1982-07-19
400060,N,2021-10-05,2,1964-07-12
400061,N,2021-10-05,2,1991-07-01
400062,N,2020-01-30,3,1986-07-09
400063,N,2021-11-10,3,1996-08-16
400064,N,2021-11-10,2,1998-08-24
400065,N,2021-10-28,3,1987-01-20
400066,N,2021-10-28,2,1989-06-17
400067,N,2022-01-12,3,1967-03-20
400068,N,2022-01-12,2,1968-08-05
400069,N,2020-01-30,3,1963-10-17
400070,P,2022-04-29,1,1965-10-25
400071,N,2020-01-30,3,1978-10-27
400072,N,2021-04-13,2,1980-05-06
400073,N,2021-07-16,3,1975-03-30
400074,N,2021-04-08,2,1987-12-10
400075,N,2022-04-21,2,1946-01-25
